id_number,name,host_since,host_response_rate,host_acceptance_rate,accommodates,bathrooms,bedrooms,beds,price,cleaning_fee,guests_included,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month,host_response_rate_nan,host_acceptance_rate_nan,Capitol Hill,Columbia Heights,Dupont Circle,Logan Circle,U Street Corridor,Adams Morgan,Near Northeast/H Street Corridor,Shaw,city_one_hot,state_one_hot,property_type_house,property_type_other,Private room,Shared room,bed_type_not_real_bed,instant_bookable_not_f,moderate,strict,super_strict_30,email,facebook,google,jumio,kba,linkedin,manual_offline,manual_online,phone,reviews,sent_id,Washer_amenities,Dryer_amenities,SmokeDetector_amenities,Internet_amenities,Essentials_amenities,TV_amenities,Shampoo_amenities,CableTV_amenities,FireExtinguisher_amenities,Family/KidFriendly_amenities,CarbonMonoxideDetector_amenities,FirstAidKit_amenities,FreeParkingonPremises_amenities,ElevatorinBuilding_amenities,other_rare_amenities_amenities,price_log
1594,Gorgeous and cheap 1 bed 1 bath!!!,-0.8091308966582664,-2.4904554029040913,-1.925012799342933,-0.09937687747413539,-0.4295106956787127,-0.2506879948032519,1.1193913106114461,120.0,-0.8166987378582321,-0.46049569642034127,1.2121655904163489,-0.01829765720493445,-0.44130224551947106,0.8366590354731858,0.5808383245715515,-1.2344270178443206,0.4191537548024249,0.4042185363447895,0.6774137512987364,0.7947054518495527,-0.3563195095221102,-0.863326732936649,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,4.787491742782046
1595,Friendship Heigh Garden Room,-0.41717317989173724,0.5952693926966371,0.481153375483973,-0.5918481469306653,-0.4295106956787127,-0.2506879948032519,-0.5430874756230608,68.0,-0.706985545899445,-0.46049569642034127,-0.06591913940044118,-0.01829765720493445,0.08942742024085479,-1.200826498630321,-0.7002266991249751,-1.2344270178443206,-1.056523433860767,0.4042185363447895,-0.42955606593324097,-0.3891493148089094,0.12851746873626016,-0.3330894459743081,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,1,0,0.0,0.0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,4.219507705176107
1596,"Logan Circle Loft 1bedroom, 1.5bath",-0.32296875011094056,-0.8550212612357052,-0.08028539864230502,0.39309439198239454,0.41872324925717186,-0.2506879948032519,-0.5430874756230608,175.0,-0.2681327780642964,0.2802803491293055,-0.3215360853637992,-0.01829765720493445,0.3216216490109974,-0.30942657746003677,0.5808383245715515,-1.2344270178443206,-1.056523433860767,-1.221810384247748,0.6774137512987364,-0.3891493148089094,-0.3563195095221102,-0.24186582671196996,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,5.1647859739235145
1597,"Experience Washington, DC",-0.1698865517171459,0.31755416109257156,-0.4278427350061914,0.39309439198239454,-0.4295106956787127,-0.2506879948032519,0.2881519174941927,250.0,2.4746970209053822,-0.46049569642034127,-0.3215360853637992,-0.01829765720493445,-0.3086198290793896,0.8366590354731858,0.5808383245715515,0.6328007310235059,0.4191537548024249,0.4042185363447895,0.6774137512987364,0.7947054518495527,-0.19470718343598678,-0.8462223043249606,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,5.521460917862246
1598,Spacious Capital Hill Apt,-0.45586428498027876,-0.021875566423508543,0.0801256796794887,-0.5918481469306653,-0.4295106956787127,-0.2506879948032519,-0.5430874756230608,100.0,-0.8166987378582321,-0.46049569642034127,-0.3215360853637992,-0.01829765720493445,-0.37496103729943037,0.8366590354731858,0.5808383245715515,0.6328007310235059,0.4191537548024249,0.4042185363447895,0.6774137512987364,0.7947054518495527,-0.03309485734986331,-0.7093868754314533,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,4.605170185988092
1599,#1 Best Modern 2 BR Lower Level APT,2.8530663110702053,0.5952693926966371,0.7485051726869626,2.362979469808514,-0.4295106956787127,0.9355328007957316,1.9506307037286998,155.0,0.828999141523575,1.7618324402285992,-0.06591913940044118,-0.01829765720493445,0.6201570860011807,0.3272876519473091,0.5808383245715515,0.6328007310235059,0.4191537548024249,0.4042185363447895,-0.42955606593324097,0.7947054518495527,0.2901297948223836,0.11162569792959069,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,5.043425116919247
1600,Spacious Townhome Yard Deck Parking,-0.930250877805005,0.5952693926966371,0.7485051726869626,3.3479220087215738,4.659892973936595,3.307974391993699,4.44434888308046,500.0,-0.8166987378582321,-0.46049569642034127,-0.06591913940044118,-0.01829765720493445,-0.5076434537395118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3563195095221102,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,6.214608098422191
1601,StudioSpace in the Heart of DC,-0.9807175366161461,0.34841140904857887,0.1335960391200866,-0.09937687747413539,-0.4295106956787127,-0.2506879948032519,0.2881519174941927,165.0,-0.8166987378582321,-0.46049569642034127,-0.3215360853637992,-0.01829765720493445,0.12259802435087516,0.5819733437102474,0.5808383245715515,-0.3008131434104074,-1.056523433860767,-1.221810384247748,0.6774137512987364,-0.3891493148089094,-0.3563195095221102,0.8414146520282964,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,5.10594547390058
1602,[1143-1]1BR At Westbrooke Place,2.5300796946789026,-0.7007350214556688,-0.5615186336076862,-0.5918481469306653,-0.4295106956787127,-0.2506879948032519,-0.5430874756230608,299.0,-0.8166987378582321,-0.46049569642034127,0.44531475252627484,-0.018317086252068977,-0.5076434537395118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2901297948223836,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,5.700443573390687
1603,Charming Capitol Hill Apartment,0.3684244756016924,0.28669691313656426,0.7485051726869626,0.39309439198239454,-0.4295106956787127,-0.2506879948032519,0.2881519174941927,125.0,0.7192859495647879,0.2802803491293055,-0.06591913940044118,-0.01832567593606529,0.9850337312114047,0.5819733437102474,0.5808383245715515,0.6328007310235059,0.4191537548024249,0.4042185363447895,-0.42955606593324097,0.7947054518495527,-0.3563195095221102,1.3545475103789488,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,4.8283137373023015
